1: 2 , 1 !!!!!!! flag
2: 20 , 14 !!!!!!! flag
3: 20 , 0 !!!!!!! flag
4: 34 , 1 !!!!!!! flag
5: 48 , 0
6: 36 , 10
7: 31 , 2 !!!!!!! flag
8: 38 , 0 !!!!!!! flag
9: 46 , 0
10: 46 , 1
11: 47 , 0
12: 42 , 1
13: 42 , 3
14: 43 , 2
15: 46 , 2
16: 47 , 1
17: 45 , 0
18: 45 , 2
19: 32 , 10
20: 21 , 0
21: 37 , 0
22: 46 , 1 !!!!!!! flag
23: 43 , 1
24: 44 , 2 !!!!!!! flag
25: 43 , 3 !!!!!!! flag
26: 48 , 0 !!!!!!! flag
27: 46 , 0 !!!!!!! flag
28: 44 , 0
29: 45 , 3
30: 42 , 5
31: 44 , 1
32: 36 , 0
33: 36 , 1
34: 39 , 1
35: 37 , 3
36: 38 , 1
37: 41 , 1
38: 40 , 1 !!!!!!! flag
39: 42 , 0
40: 43 , 0
41: 42 , 2
42: 44 , 4
43: 45 , 1
44: 42 , 4
45: 44 , 3
46: 44 , 2 !!!!!!! flag
47: 44 , 2 !!!!!!! flag
48: 43 , 1 !!!!!!! flag
49: 39 , 0
50: 41 , 5
51: 41 , 0
52: 41 , 4
53: 39 , 2
54: 41 , 6
55: 43 , 4
56: 37 , 4
57: 35 , 0
58: 14 , 1
59: 8 , 6 !!!!!!! flag
60: 35 , 0 !!!!!!! flag
61: 46 , 1 !!!!!!! flag
62: 45 , 0 !!!!!!! flag
63: 47 , 0 !!!!!!! flag
64: 40 , 2
65: 40 , 0
66: 37 , 1
67: 41 , 2
68: 34 , 7
69: 35 , 1
70: 40 , 5
71: 35 , 4
72: 38 , 4
73: 41 , 3
74: 40 , 3
75: 34 , 0
76: 33 , 1
77: 40 , 4
78: 35 , 6
79: 40 , 7
80: 33 , 0
81: 38 , 5
82: 43 , 5
83: 37 , 8
84: 42 , 6
85: 38 , 7
86: 41 , 7
87: 39 , 4
88: 40 , 8
89: 39 , 3
90: 39 , 6
91: 40 , 6
92: 33 , 3
93: 33 , 6
94: 33 , 7
95: 33 , 10
96: 34 , 2
97: 39 , 8
98: 38 , 6
99: 39 , 9
100: 39 , 7
101: 33 , 4
102: 34 , 9
103: 38 , 8
104: 39 , 5
105: 36 , 5
106: 21 , 2
107: 34 , 6
108: 28 , 5
109: 27 , 0
110: 38 , 2
111: 38 , 9
112: 37 , 7
113: 37 , 2
114: 38 , 3
115: 14 , 6
116: 16 , 4
117: 19 , 1
118: 18 , 0
119: 43 , 3 !!!!!!! flag
120: 38 , 0 !!!!!!! flag
121: 37 , 0 !!!!!!! flag
122: 42 , 1 !!!!!!! flag
123: 42 , 6 !!!!!!! flag
124: 37 , 9
125: 35 , 7
126: 38 , 10
127: 37 , 6
128: 37 , 11
129: 36 , 2
130: 37 , 5
131: 32 , 0
132: 32 , 1
133: 31 , 0
134: 33 , 5
135: 21 , 9
136: 31 , 1
137: 26 , 0
138: 21 , 4
139: 28 , 1
140: 25 , 0
141: 30 , 5
142: 35 , 2
143: 29 , 4
144: 36 , 4
145: 30 , 0
146: 37 , 10
147: 29 , 0
148: 29 , 1
149: 30 , 3
150: 25 , 1
151: 36 , 11
152: 30 , 4
153: 36 , 3
154: 36 , 12
155: 36 , 7
156: 32 , 2
157: 30 , 8
158: 30 , 9
159: 25 , 3
160: 30 , 6
161: 30 , 11
162: 33 , 2
163: 33 , 8
164: 36 , 6
165: 36 , 9
166: 36 , 8
167: 35 , 3
168: 35 , 9
169: 35 , 11
170: 35 , 5
171: 32 , 8
172: 34 , 8
173: 35 , 12
174: 28 , 0
175: 28 , 2
176: 30 , 2
177: 29 , 2
178: 30 , 1
179: 34 , 3
180: 23 , 3
181: 35 , 13
182: 21 , 5
183: 26 , 1
184: 27 , 1
185: 35 , 10
186: 29 , 5
187: 32 , 3
188: 35 , 8
189: 20 , 5
190: 20 , 16
191: 32 , 3 !!!!!!! flag
192: 41 , 2 !!!!!!! flag
193: 46 , 2 !!!!!!! flag
194: 28 , 3
195: 32 , 9
196: 34 , 4
197: 34 , 5
198: 31 , 7
199: 34 , 13
200: 34 , 10
201: 30 , 14
202: 29 , 9
203: 32 , 12
204: 33 , 11
205: 35 , 8 !!!!!!! flag
206: 40 , 8 !!!!!!! flag
207: 31 , 0 !!!!!!! flag
208: 38 , 2 !!!!!!! flag
209: 34 , 8 !!!!!!! flag
210: 40 , 1 !!!!!!! flag
211: 31 , 16
212: 30 , 7
213: 34 , 12
214: 34 , 11
215: 29 , 3
216: 28 , 4
217: 31 , 4
218: 31 , 3
219: 32 , 6
220: 28 , 6
221: 34 , 14
222: 27 , 3
223: 28 , 7
224: 27 , 5
225: 30 , 10
226: 28 , 12
227: 27 , 7
228: 32 , 14
229: 33 , 12
230: 31 , 9
231: 32 , 4
232: 32 , 7
233: 32 , 5
234: 33 , 15
235: 32 , 11
236: 28 , 8
237: 31 , 5
238: 27 , 6
239: 32 , 16
240: 32 , 13
241: 27 , 8
242: 32 , 15
243: 27 , 2
244: 27 , 4
245: 33 , 9
246: 33 , 14
247: 20 , 7
248: 23 , 0
249: 27 , 10
250: 23 , 2
251: 24 , 5
252: 24 , 1
253: 24 , 2
254: 24 , 8
255: 23 , 1
256: 29 , 7
257: 18 , 1
258: 19 , 0
259: 18 , 2
260: 29 , 14
261: 29 , 6
262: 33 , 13
263: 31 , 17
264: 31 , 11
265: 31 , 15
266: 23 , 8
267: 23 , 5
268: 26 , 2
269: 24 , 0
270: 22 , 1
271: 6 , 13
272: 31 , 6
273: 29 , 8
274: 27 , 12
275: 31 , 10
276: 31 , 13
277: 31 , 14
278: 26 , 15
279: 26 , 5
280: 30 , 18
281: 25 , 5
282: 27 , 11
283: 31 , 8
284: 27 , 9
285: 30 , 13
286: 27 , 14
287: 23 , 7
288: 22 , 0
289: 24 , 14
290: 31 , 12
291: 17 , 1
292: 17 , 13
293: 30 , 12
294: 16 , 0
295: 15 , 5
296: 21 , 3
297: 22 , 4
298: 22 , 16
299: 30 , 17
300: 21 , 1
301: 21 , 8
302: 23 , 11
303: 13 , 8
304: 10 , 0
305: 9 , 0
306: 9 , 1
307: 26 , 3
308: 20 , 4
309: 13 , 29
310: 13 , 0
311: 10 , 4
312: 11 , 7
313: 23 , 6
314: 20 , 1
315: 30 , 15
316: 20 , 6
317: 29 , 17
318: 6 , 2
319: 5 , 4
320: 8 , 0
321: 6 , 25
322: 29 , 11
323: 5 , 2
324: 5 , 0
325: 4 , 3
326: 3 , 1
327: 2 , 7
328: 4 , 0
329: 6 , 0
330: 23 , 10
331: 24 , 15
332: 30 , 16
333: 13 , 7
334: 12 , 8
335: 7 , 10
336: 4 , 2
337: 22 , 15
338: 29 , 18
339: 21 , 6
340: 26 , 4
341: 29 , 12
342: 25 , 2
343: 24 , 6
344: 20 , 2
345: 21 , 7
346: 14 , 8
347: 20 , 3
348: 26 , 6
349: 23 , 4
350: 15 , 6
351: 17 , 0
352: 16 , 2
353: 22 , 10
354: 15 , 2
355: 24 , 7
356: 27 , 15
357: 29 , 16
358: 28 , 13
359: 24 , 3
360: 25 , 8
361: 22 , 3
362: 22 , 6
363: 23 , 17
364: 29 , 10
365: 25 , 11
366: 25 , 10
367: 27 , 18
368: 15 , 3
369: 12 , 5
370: 12 , 6
371: 18 , 8
372: 28 , 10
373: 21 , 13
374: 22 , 5
375: 29 , 15
376: 24 , 13
377: 29 , 19
378: 21 , 10
379: 27 , 16
380: 25 , 13
381: 24 , 4
382: 15 , 0
383: 16 , 3
384: 11 , 3
385: 8 , 2
386: 7 , 3
387: 12 , 2
388: 12 , 4
389: 9 , 2
390: 12 , 7
391: 6 , 4
392: 13 , 3
393: 16 , 12
394: 22 , 8
395: 22 , 7
396: 22 , 11
397: 28 , 11
398: 25 , 4
399: 18 , 6
400: 20 , 12
401: 21 , 11
402: 20 , 10
403: 28 , 15
404: 21 , 17
405: 20 , 8
406: 26 , 12
407: 25 , 7
408: 25 , 21
409: 21 , 12
410: 24 , 9
411: 23 , 13
412: 21 , 14
413: 16 , 5
414: 25 , 12
415: 28 , 20
416: 28 , 17
417: 26 , 9
418: 15 , 4
419: 23 , 9
420: 23 , 12
421: 24 , 11
422: 27 , 13
423: 19 , 15
424: 28 , 9
425: 25 , 16
426: 28 , 14
427: 26 , 7
428: 2 , 0
429: 1 , 1
430: 28 , 16
431: 28 , 18
432: 26 , 8
433: 32 , 12
434: 25 , 15
435: 28 , 19
436: 15 , 11
437: 19 , 10
438: 22 , 9
439: 26 , 14
440: 23 , 16
441: 25 , 14
442: 20 , 9
443: 20 , 13
444: 25 , 20
445: 27 , 17
446: 26 , 11
447: 25 , 17
448: 27 , 20
449: 27 , 21
450: 27 , 19
451: 26 , 13
452: 23 , 20
453: 26 , 17
454: 26 , 20
455: 25 , 9
456: 26 , 10
457: 24 , 12
458: 29 , 4
459: 31 , 17
460: 4 , 4
461: 7 , 0
462: 30 , 12
463: 24 , 10
464: 23 , 4
465: 26 , 18
466: 26 , 21
467: 7 , 1
468: 8 , 4
469: 4 , 13
470: 19 , 5
471: 22 , 2
472: 17 , 7
473: 12 , 3
474: 21 , 15
475: 36 , 6
476: 2 , 2
477: 2 , 3
478: 23 , 14
479: 14 , 14
480: 26 , 16
481: 26 , 19
482: 18 , 4
483: 19 , 4
484: 19 , 2
485: 13 , 1
486: 15 , 1
487: 17 , 4
488: 17 , 3
489: 18 , 5
490: 16 , 10
491: 15 , 10
492: 13 , 5
493: 12 , 0
494: 14 , 0
495: 10 , 1
496: 11 , 0
497: 14 , 4
498: 24 , 23
499: 48 , 8
500: 49 , 0
501: 10 , 12
502: 4 , 1
503: 2 , 17
504: 17 , 11
505: 17 , 9
506: 19 , 9
507: 19 , 6
508: 18 , 3
509: 17 , 6
510: 17 , 17
511: 26 , 22
512: 21 , 23
513: 16 , 1
514: 17 , 5
515: 8 , 8
516: 6 , 1
517: 2 , 13
518: 1 , 5
519: 7 , 9
520: 9 , 5
521: 9 , 10
522: 3 , 19
523: 3 , 10
524: 19 , 7
525: 3 , 0
526: 19 , 13
527: 19 , 11
528: 24 , 24
529: 47 , 2
530: 49 , 0
531: 25 , 23
532: 25 , 19
533: 20 , 15
534: 31 , 16
535: 47 , 3
536: 49 , 1
537: 0 , 0
538: 16 , 9
539: 4 , 11
540: 8 , 16
541: 11 , 1
542: 7 , 8
543: 3 , 9
544: 15 , 8
545: 24 , 21
546: 17 , 10
547: 17 , 8
548: 16 , 7
549: 13 , 11
550: 19 , 8
551: 18 , 9
552: 25 , 22
553: 25 , 2
554: 23 , 15
555: 30 , 18
556: 24 , 16
557: 25 , 18
558: 24 , 22
559: 33 , 14
560: 47 , 5
561: 3 , 14
562: 12 , 1
563: 36 , 12
564: 48 , 3
565: 49 , 0
566: 1 , 0
567: 49 , 3
568: 6 , 9
569: 6 , 11
570: 22 , 21
571: 8 , 9
572: 20 , 18
573: 24 , 19
574: 1 , 0
575: 24 , 18
576: 27 , 21
577: 23 , 18
578: 19 , 22
579: 20 , 11
580: 23 , 23
581: 23 , 22
582: 24 , 20
583: 3 , 1
584: 22 , 18
585: 22 , 20
586: 11 , 9
587: 12 , 18
588: 25 , 22
589: 47 , 4
590: 2 , 14
591: 18 , 7
592: 37 , 11
593: 48 , 4
594: 3 , 3
595: 1 , 24
596: 22 , 13
597: 2 , 10
598: 4 , 9
599: 11 , 5
600: 13 , 10
601: 11 , 2
602: 19 , 18
603: 15 , 7
604: 21 , 19
605: 8 , 1
606: 5 , 5
607: 7 , 5
608: 8 , 3
609: 13 , 18
610: 9 , 12
611: 24 , 17
612: 11 , 8
613: 5 , 8
614: 5 , 10
615: 5 , 3
616: 24 , 20
617: 17 , 18
618: 17 , 12
619: 23 , 19
620: 25 , 7
621: 22 , 12
622: 10 , 10
623: 1 , 7
624: 23 , 14
625: 22 , 14
626: 9 , 13
627: 15 , 9
628: 20 , 21
629: 4 , 3
630: 22 , 22
631: 12 , 11
632: 17 , 15
633: 16 , 6
634: 21 , 18
635: 21 , 21
636: 29 , 19
637: 48 , 2
638: 49 , 7
639: 49 , 10
640: 49 , 14
641: 1 , 4
642: 22 , 17
643: 20 , 0
644: 33 , 15
645: 28 , 0
646: 33 , 0
647: 5 , 6
648: 11 , 14
649: 4 , 7
650: 6 , 10
651: 17 , 14
652: 20 , 19
653: 6 , 3
654: 10 , 8
655: 21 , 16
656: 7 , 14
657: 20 , 17
658: 6 , 9
659: 5 , 1
660: 17 , 7
661: 19 , 19
662: 16 , 13
663: 20 , 20
664: 15 , 3
665: 28 , 12
666: 14 , 5
667: 21 , 6
668: 15 , 15
669: 24 , 14
670: 19 , 12
671: 34 , 13
672: 31 , 7
673: 23 , 0
674: 33 , 13
675: 29 , 2
676: 29 , 16
677: 42 , 5
678: 39 , 7
679: 21 , 0
680: 33 , 3
681: 40 , 7
682: 30 , 13
683: 12 , 15
684: 10 , 0
685: 27 , 1
686: 19 , 17
687: 18 , 11
688: 23 , 1
689: 27 , 9
690: 23 , 16
691: 38 , 10
692: 38 , 3
693: 37 , 1
694: 36 , 0
695: 19 , 16
696: 20 , 21
697: 5 , 12
698: 22 , 15
699: 4 , 0
700: 41 , 6
701: 31 , 6
702: 10 , 18
703: 20 , 11
704: 29 , 9
705: 27 , 10
706: 19 , 14
707: 15 , 14
708: 14 , 1
709: 18 , 1
710: 17 , 16
711: 18 , 14
712: 18 , 16
713: 31 , 3
714: 39 , 2
715: 30 , 1
716: 28 , 5
717: 29 , 0
718: 17 , 16
719: 14 , 12
720: 14 , 10
721: 18 , 18
722: 18 , 15
723: 19 , 13
724: 36 , 5
725: 6 , 6
726: 20 , 12
727: 11 , 16
