 & rndtr & rndtrDD & rndex & rndexDD & rndin & rndinDD & rztr & rztrDD & rzex & rzexDD & rzin & rzinDD & rndVND1 & rndVND1DD & rzVND1 & rzVND1DD & rndVND2 & rndVND2DD & rzVND2 & rzVND2DD
rndtr & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rndtrDD & 2.45e-11 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 9.04e-09 & 1.10e-05 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rndex & 2.45e-11 & 2.45e-11 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.03e-07 & 3.51e-06 & 2.65e-02 & 1.44e-10 & 2.45e-11 & 2.45e-11 & 1.59e-10 & 3.01e-11 & 2.45e-11 & 2.45e-11 & 9.96e-10 & 3.70e-11
rndexDD & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 1.84e-10 & 4.93e-03 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rndin & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 5.11e-10 & 2.45e-11 & 2.32e-03 & 2.45e-11 & 2.45e-11 & 1.45e-05 & 1.01e-01 & 2.45e-11 & 2.45e-11 & 2.83e-08 & 9.01e-01
rndinDD & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 8.28e-05 & 9.61e-01 & 2.45e-11 & 2.45e-11
rztr & 2.45e-11 & 9.04e-09 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 7.39e-09 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rztrDD & 2.45e-11 & 1.10e-05 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 7.39e-09 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rzex & 2.45e-11 & 2.45e-11 & 2.03e-07 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 3.89e-11 & 1.22e-03 & 2.86e-11 & 2.45e-11 & 2.45e-11 & 1.07e-10 & 2.58e-11 & 2.45e-11 & 2.45e-11 & 5.55e-11 & 2.45e-11
rzexDD & 2.45e-11 & 2.45e-11 & 3.51e-06 & 2.45e-11 & 5.11e-10 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 3.89e-11 & NaN & 1.79e-07 & 4.06e-06 & 2.45e-11 & 2.45e-11 & 1.32e-03 & 1.79e-07 & 2.45e-11 & 2.45e-11 & 1.44e-01 & 6.37e-08
rzin & 2.45e-11 & 2.45e-11 & 2.65e-02 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 1.22e-03 & 1.79e-07 & NaN & 7.51e-11 & 2.45e-11 & 2.45e-11 & 1.75e-10 & 1.18e-10 & 2.45e-11 & 2.45e-11 & 3.31e-10 & 2.58e-11
rzinDD & 2.45e-11 & 2.45e-11 & 1.44e-10 & 2.45e-11 & 2.32e-03 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.86e-11 & 4.06e-06 & 7.51e-11 & NaN & 2.45e-11 & 2.45e-11 & 5.84e-01 & 5.10e-02 & 2.45e-11 & 2.45e-11 & 3.30e-02 & 1.57e-01
rndVND1 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 1.84e-10 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & NaN & 4.70e-06 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rndVND1DD & 2.45e-11 & 2.45e-11 & 2.45e-11 & 4.93e-03 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 4.70e-06 & NaN & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 2.45e-11
rzVND1 & 2.45e-11 & 2.45e-11 & 1.59e-10 & 2.45e-11 & 1.45e-05 & 2.45e-11 & 2.45e-11 & 2.45e-11 & 1.07e-10 & 1.32e-03 & 1.75e-10 & 5.84e-01 & 2.45e-11 & 2.45e-11 & NaN & 7.80e-03 & 2.45e-11 & 2.45e-11 & 4.76e-02 & 3.22e-04
